Batsman,Opponent,Total Runs,Venue
AB de Villiers,Mumbai Indians,21,Dr DY Patil Sports Academy
AM Nayar,Delhi Daredevils,2,Dr DY Patil Sports Academy
DJ Bravo,Delhi Daredevils,2,Dr DY Patil Sports Academy
DJ Thornely,Delhi Daredevils,30,Dr DY Patil Sports Academy
G Gambhir,Mumbai Indians,1,Dr DY Patil Sports Academy
GD McGrath,Mumbai Indians,0,Dr DY Patil Sports Academy
KD Karthik,Mumbai Indians,28,Dr DY Patil Sports Academy
Mohammad Asif,Mumbai Indians,0,Dr DY Patil Sports Academy
PJ Sangwan,Mumbai Indians,2,Dr DY Patil Sports Academy
R Bhatia,Mumbai Indians,9,Dr DY Patil Sports Academy
RR Raje,Delhi Daredevils,6,Dr DY Patil Sports Academy
RV Uthappa,Delhi Daredevils,22,Dr DY Patil Sports Academy
S Dhawan,Mumbai Indians,1,Dr DY Patil Sports Academy
SM Pollock,Delhi Daredevils,33,Dr DY Patil Sports Academy
SS Tiwary,Delhi Daredevils,9,Dr DY Patil Sports Academy
ST Jayasuriya,Delhi Daredevils,34,Dr DY Patil Sports Academy
Shoaib Malik,Mumbai Indians,24,Dr DY Patil Sports Academy
V Sehwag,Mumbai Indians,40,Dr DY Patil Sports Academy
VY Mahesh,Mumbai Indians,3,Dr DY Patil Sports Academy
YV Takawale,Delhi Daredevils,14,Dr DY Patil Sports Academy
GC Smith,Chennai Super Kings,35,Sawai Mansingh Stadium
JA Morkel,Rajasthan Royals,42,Sawai Mansingh Stadium
Joginder Sharma,Rajasthan Royals,0,Sawai Mansingh Stadium
M Muralitharan,Rajasthan Royals,0,Sawai Mansingh Stadium
M Ntini,Rajasthan Royals,11,Sawai Mansingh Stadium
MS Dhoni,Rajasthan Royals,1,Sawai Mansingh Stadium
MS Gony,Rajasthan Royals,1,Sawai Mansingh Stadium
PA Patel,Rajasthan Royals,0,Sawai Mansingh Stadium
S Badrinath,Rajasthan Royals,15,Sawai Mansingh Stadium
S Vidyut,Rajasthan Royals,5,Sawai Mansingh Stadium
SA Asnodkar,Chennai Super Kings,32,Sawai Mansingh Stadium
SK Raina,Rajasthan Royals,27,Sawai Mansingh Stadium
SP Fleming,Rajasthan Royals,0,Sawai Mansingh Stadium
SR Watson,Chennai Super Kings,14,Sawai Mansingh Stadium
YK Pathan,Chennai Super Kings,8,Sawai Mansingh Stadium
A Kumble,Kings XI Punjab,3,M Chinnaswamy Stadium
CL White,Kings XI Punjab,0,M Chinnaswamy Stadium
DPMD Jayawardene,Royal Challengers Bangalore,17,M Chinnaswamy Stadium
DT Patil,Kings XI Punjab,4,M Chinnaswamy Stadium
DW Steyn,Kings XI Punjab,1,M Chinnaswamy Stadium
IK Pathan,Royal Challengers Bangalore,17,M Chinnaswamy Stadium
JH Kallis,Kings XI Punjab,0,M Chinnaswamy Stadium
JR Hopes,Royal Challengers Bangalore,5,M Chinnaswamy Stadium
Misbah-ul-Haq,Kings XI Punjab,8,M Chinnaswamy Stadium
P Kumar,Kings XI Punjab,0,M Chinnaswamy Stadium
R Dravid,Kings XI Punjab,66,M Chinnaswamy Stadium
